week,mode,demand_latent,demand_low_band,demand_high_band,waitlist_in,capacity_plates,plates_fulfilled,lost_demand,waitlist_out,weekday_plates,weekend_plates,peak_night_orders,service_nights,followers_or_reach_proxy,mom_cook_hours,help_hours,throughput_pph,peak_night_capacity,ch_pickup,ch_live,ch_doordash,ch_grubhub,ch_overnight,ch_local_delivery,ch_plate_club,ch_happy_hour_half,ch_rewards,rev_pickup,rev_live,rev_doordash,rev_grubhub,rev_overnight,rev_local_delivery,rev_plate_club,rev_happy_hour,rev_rewards,rev_drinks,rev_platform_monetize,revenue_total,cogs_chicken,cogs_greens,cogs_sweet_potatoes,cogs_roll,cogs_oil_breading_seasoning,cogs_yield_waste,cogs_food_total,cogs_pack_supplies,cogs_pack_total,cogs_dd_gh_bonus,cogs_drinks,fees_dd_commission,fees_gh_commission,fees_payment,fulfill_drive,fulfill_uline_bom,opex_ads,opex_gas_permits_ins_phone,opex_hire_cash,opex_rent_utils,hh_spin_cost,club_members,SUMMARY_net_cash,SUMMARY_net_after_mom,cum_cash,lease_gate_met,notes
1,mobile,480.0,220.0,720.0,0.0,650,480,0,0.0,216,264,192,7,37620,35.0,50,14.0,210.0,56,38,179,94,24,33,3,19,34,1120.0,760.0,4654.0,2444.0,2040.0,1056.0,30.0,190.0,170.0,0.0,98.75,12562.75,283.2,408.0,336.0,120.0,297.6,331.2,1776.0,211.2,211.2,204.75,0.0,1163.5,659.88,115.15,328.35,1842.48,1200.0,105,1000.0,0,10.64,3.84,3945.8,3245.8,3945.8,0,DROP LAUNCH — Jordan/iPhone front-load; marketplace-heavy; Drop pulse; ads $1200; mkt_share≈57%
2,mobile,422.4,193.6,633.6,0.0,650,422,0,0.0,190,232,169,7,33540,35.0,50,14.0,210.0,50,33,155,82,20,29,6,17,30,1000.0,660.0,4030.0,2132.0,1700.0,928.0,60.0,170.0,150.0,0.0,92.23,10922.23,248.98,358.7,295.4,105.5,261.64,291.18,1561.4,185.68,185.68,177.75,0.0,1007.5,575.64,100.2,288.55,1535.4,900.0,105,1000.0,0,9.52,7.14,3475.59,2775.59,7421.39,0,Drop pulse; ads $900; mkt_share≈56%
3,mobile,336.0,154.0,504.0,0.0,650,336,0,0.0,151,185,134,7,27360,35.0,50,14.0,210.0,40,26,122,64,16,23,8,14,23,800.0,520.0,3172.0,1664.0,1360.0,736.0,80.0,140.0,115.0,0.0,78.66,8665.66,198.24,285.6,235.2,84.0,208.32,231.84,1243.2,147.84,147.84,139.5,0.0,793.0,449.28,80.78,228.85,1228.32,600.0,105,1000.0,0,7.84,9.68,2642.05,1942.05,10063.44,0,Drop pulse; ads $600; mkt_share≈55%
4,mobile,249.6,114.4,374.4,0.0,650,250,0,0.0,112,138,100,7,21180,35.0,50,14.0,210.0,29,19,89,47,12,17,9,11,17,580.0,380.0,2314.0,1222.0,1020.0,544.0,90.0,110.0,85.0,0.0,63.54,6408.54,147.5,212.5,175.0,62.5,155.0,172.5,925.0,110.0,110.0,102.0,0.0,578.5,329.94,60.73,169.15,921.24,400.0,105,1000.0,0,6.16,11.49,1700.82,1000.82,11764.26,0,Drop pulse; ads $400; mkt_share≈54%
5,mobile,250.86,132.9,380.5,0.0,476,251,0,0.0,113,138,100,7,21392,28.0,28,13.0,105.3,30,19,88,46,12,17,11,11,17,600.0,380.0,2288.0,1196.0,1020.0,544.0,110.0,110.0,85.0,0.0,66.85,6399.85,148.09,213.35,175.7,62.75,155.62,173.19,928.7,110.44,110.44,100.5,0.0,572.0,322.92,61.73,169.15,921.24,92.54,105,560.0,0,6.16,13.27,2449.47,1889.47,14213.73,0,Post-drop hype tail; habit floor building; mkt_share≈53%
6,mobile,243.62,130.13,371.38,0.0,476,244,0,0.0,110,134,98,7,20984,28.2,28,13.07,105.91,29,18,84,45,11,17,12,11,17,580.0,360.0,2184.0,1170.0,935.0,544.0,120.0,110.0,85.0,0.0,68.2,6156.2,143.96,207.4,170.8,61.0,151.28,168.36,902.8,107.36,107.36,96.75,0.0,546.0,315.9,59.35,169.15,844.47,92.18,105,560.0,0,6.16,14.96,2351.08,1787.08,16564.81,0,habit+LIVE+marketplace retention; mkt_share≈53%
7,mobile,239.43,128.77,366.73,0.0,476,239,0,0.0,108,131,96,7,20798,28.4,28,13.15,106.52,28,18,82,43,11,16,13,11,17,560.0,360.0,2132.0,1118.0,935.0,512.0,130.0,110.0,85.0,0.0,70.19,6012.19,141.01,203.15,167.3,59.75,148.18,164.91,884.3,105.16,105.16,93.75,0.0,533.0,301.86,58.3,159.2,844.47,91.97,105,560.0,0,6.16,16.57,2269.02,1701.02,18833.82,0,habit+LIVE+marketplace retention; mkt_share≈52%
8,mobile,237.79,128.62,365.72,0.0,476,238,0,0.0,107,131,95,7,20799,28.6,28,13.22,107.12,29,17,80,42,11,16,15,11,17,580.0,340.0,2080.0,1092.0,935.0,512.0,150.0,110.0,85.0,0.0,72.8,5956.8,140.42,202.3,166.6,59.5,147.56,164.22,880.6,104.72,104.72,91.5,0.0,520.0,294.84,59.3,159.2,844.47,91.89,105,560.0,0,6.16,18.14,2239.12,1667.12,21072.95,0,habit+LIVE+marketplace retention; mkt_share≈51%
9,mobile,238.28,129.48,367.66,0.0,476,238,0,0.0,107,131,95,6,20954,28.8,28,13.3,107.73,29,17,79,42,11,16,16,11,17,580.0,340.0,2054.0,1092.0,935.0,512.0,160.0,110.0,85.0,0.0,75.96,5943.96,140.42,202.3,166.6,59.5,147.56,164.22,880.6,104.72,104.72,90.75,0.0,513.5,294.84,59.55,159.2,844.47,91.91,105,560.0,0,6.16,19.68,2233.26,1657.26,23306.2,0,habit+LIVE+marketplace retention; mkt_share≈51%
10,mobile,240.5,131.19,371.92,0.0,476,241,0,0.0,108,133,96,6,21237,29.0,28,13.38,108.34,29,17,80,42,11,17,17,11,17,580.0,340.0,2080.0,1092.0,935.0,544.0,170.0,110.0,85.0,0.0,79.64,6015.64,142.19,204.85,168.7,60.25,149.42,166.29,891.7,106.04,106.04,91.5,0.0,520.0,294.84,60.6,169.15,844.47,92.03,105,560.0,0,6.16,21.22,2274.15,1694.15,25580.36,0,habit+LIVE+marketplace retention; mkt_share≈51%
