week,mode,demand_latent,demand_low_band,demand_high_band,waitlist_in,capacity_plates,plates_fulfilled,lost_demand,waitlist_out,followers_or_reach_proxy,mom_cook_hours,help_hours,throughput_pph,ch_pickup,ch_live,ch_doordash,ch_overnight,ch_local_delivery,ch_plate_club,ch_happy_hour_half,ch_rewards,rev_pickup,rev_live,rev_doordash,rev_overnight,rev_local_delivery,rev_plate_club,rev_happy_hour,rev_rewards,rev_drinks,rev_platform_monetize,revenue_total,cogs_food_pack,cogs_dd_bonus,cogs_drinks,fees_dd_commission,fees_payment,fulfill_drive,fulfill_uline_bom,opex_ads,opex_gas_permits_ins_phone,opex_hire_cash,opex_rent_utils,hh_spin_cost,club_members,SUMMARY_net_cash,SUMMARY_net_after_mom,cum_cash,lease_gate_met,notes
1,mobile,30.11,25.98,48.4,0.0,141.9,30,0.0,0.0,2446,15.0,0.0,11.0,13,4,3,3,4,0,1,2,260.0,80.0,78.0,255.0,128.0,0.0,10.0,10.0,0.0,4.06,825.06,118.5,2.25,0.0,19.5,16.57,39.8,230.31,28.61,95.0,0.0,0.0,0.56,0.21,273.95,-26.05,273.95,0,Start; logistic ramp; NO 50-plate hard cap
2,mobile,34.77,28.95,57.11,0.0,145.37,35,0.0,0.0,2735,15.22,0.0,11.08,15,4,4,3,4,0,2,3,300.0,80.0,104.0,255.0,128.0,0.0,20.0,15.0,0.0,4.7,906.7,138.25,3.0,0.0,26.0,17.95,39.8,230.31,29.17,95.0,0.0,0.0,1.12,0.45,326.1,21.65,600.05,0,mid-path deterministic
3,mobile,40.08,32.22,67.21,0.0,148.89,40,0.0,0.0,3058,15.44,0.0,11.17,17,5,4,3,5,1,2,3,340.0,100.0,104.0,255.0,160.0,10.0,20.0,15.0,0.0,5.44,1009.44,158.0,3.0,0.0,26.0,20.0,49.75,230.31,29.81,95.0,0.0,0.0,1.12,0.72,396.45,87.56,996.5,0,mid-path deterministic
4,mobile,46.11,35.8,78.86,0.0,152.46,46,0.0,0.0,3419,15.67,0.0,11.25,19,5,5,4,6,1,2,4,380.0,100.0,130.0,340.0,192.0,10.0,20.0,20.0,0.0,6.29,1198.29,181.7,3.75,0.0,32.5,24.05,59.7,307.08,30.53,95.0,0.0,0.0,1.12,1.03,462.86,149.52,1459.35,0,mid-path deterministic
5,mobile,52.94,39.72,92.2,0.0,156.06,53,0.0,0.0,3823,15.89,0.0,11.33,22,6,6,5,7,1,2,4,440.0,120.0,156.0,425.0,224.0,10.0,20.0,20.0,0.0,7.26,1422.26,209.35,4.5,0.0,39.0,28.48,69.65,383.85,31.35,95.0,0.0,0.0,1.12,1.38,559.96,242.18,2019.32,0,FIRST week latent demand exceeds old 50-plate marketing cap
6,mobile,60.62,43.99,107.38,0.0,159.72,61,0.0,0.0,4273,16.11,0.0,11.42,25,7,7,5,8,1,3,5,500.0,140.0,182.0,425.0,256.0,10.0,30.0,25.0,0.0,8.37,1576.37,240.95,5.25,0.0,45.5,31.15,79.6,383.85,32.27,95.0,0.0,0.0,1.68,1.78,661.12,338.89,2680.43,0,mid-path deterministic
7,mobile,69.22,48.62,124.5,0.0,163.41,69,0.0,0.0,4772,16.33,0.0,11.5,28,8,8,6,9,2,3,5,560.0,160.0,208.0,510.0,288.0,20.0,30.0,25.0,0.0,9.64,1810.64,272.55,6.0,0.0,52.0,35.83,89.55,460.62,33.31,95.0,0.0,0.0,1.68,2.23,764.11,437.44,3444.54,0,mid-path deterministic
8,mobile,78.79,53.63,143.63,0.0,167.16,79,0.0,0.0,5322,16.56,0.0,11.58,32,9,9,7,10,2,4,6,640.0,180.0,234.0,595.0,320.0,20.0,40.0,30.0,0.0,11.07,2070.07,312.05,6.75,0.0,58.5,41.13,99.5,537.39,34.45,95.0,0.0,0.0,2.24,2.74,883.06,551.95,4327.6,0,mid-path deterministic
9,mobile,89.37,59.03,164.78,0.0,170.95,89,0.0,0.0,5927,16.78,0.0,11.67,35,10,11,8,11,3,4,7,700.0,200.0,286.0,680.0,352.0,30.0,40.0,35.0,0.0,12.68,2335.68,351.55,8.25,0.0,71.5,45.92,109.45,614.16,35.72,95.0,0.0,0.0,2.24,3.3,1001.88,666.32,5329.48,0,mid-path deterministic
10,mobile,101.0,64.81,187.88,0.0,174.78,101,0.0,0.0,6586,17.0,0.0,11.75,40,11,12,9,13,3,5,8,800.0,220.0,312.0,765.0,416.0,30.0,50.0,40.0,0.0,14.49,2647.49,398.95,9.0,0.0,78.0,52.53,129.35,690.93,37.12,95.0,0.0,0.0,2.8,3.94,1153.82,813.82,6483.3,0,mid-path deterministic
